facebook.com, 157.240.28.35
youtube.com, 172.217.2.14
yahoo.com, 74.6.231.21
live.com, 204.79.197.212
wikipedia.org, 208.80.153.224
msn.com, 13.82.28.61
baidu.com, 220.181.38.148
blogspot.com, 172.217.1.201
microsoft.com, 40.113.200.201
qq.com, 58.250.137.36
taobao.com, 140.205.94.189
bing.com, 13.107.21.200
sina.com.cn, 123.126.55.41
soso.com, 118.191.216.42
163.com, 123.58.180.8
ask.com, 151.101.70.114
adobe.com, 192.147.130.204
twitter.com, 104.244.42.193
mozilla.com, 44.236.48.31
youku.com, 106.11.43.158
sdjjdsaf.com, 
andysayler.com, 159.89.253.85
wmfo.org, 23.92.21.128
